PS_Station,Accomm_Status
"IT-UP -100 (Police Emergency Management System), Lucknow",0
"IT-UST GLOBAL, Chennai",0
"IT-UST Global, Trivandrum",0
"IT-Viitorcloud Technologies Pvt. Ltd., Ahmedabad",0
"IT-VoiceQube, Bangalore",0
"IT-West Bengal e-governance, Kolkata, Kolkata",0
"Mechanical-505 Army Base Workshop, Delhi",0
"Mechanical-A. V. Engineers, Gurgaon",0
"Mechanical-Aaress Auto Pvt.Ltd, Faridabad",0
"Mechanical-Adani Power, Ahmedabad",0
"Mechanical-Adani Power, Tirora",0
"Mechanical-Aditya Birla Insulator, Rishra",0
"Mechanical-Aditya Birla Insulators, Halol",0
"Mechanical-Al Pack Industries, Faridabad",0
"Mechanical-Atomic Energy Regulatory Board (AERB), Kalpakkam",0
"Mechanical-Atomic Energy Regulatory Board, Mumbai",0
"Mechanical-Bharat Forge Ltd, Pune",0
"Mechanical-Bharatiya Nabhikiya Vidyut Nigam Limited (BHAVINI), Kalpakkam",0
"Mechanical-BOSCH LIMITED, Jaipur",0
"Mechanical-Carborundum Universal Ltd., Chennai",0
"Mechanical-Carraro India P Ltd., Pune",0
"Mechanical-CEAT Ltd., Halol",0
"Mechanical-Cg Ppi Adhesive Products Ltd, Goa",0
"Mechanical-Coal India Limited, Bilaspur",0
"Mechanical-Coal India Limited, Dhanbad",0
"Mechanical-Coal India Limited, Nagpur",0
"Mechanical-Cosmos Impex (India) Pvt.Ltd, Vadodara",0
"Mechanical-Divgi TorqTransfer Systems Pvt. Ltd, Shivare, Pune",0
"Mechanical-Divgi TorqTransfer Systems Pvt. Ltd. - Bhosari, Pune",0
"Mechanical-Escorts, Faridabad",0
"Mechanical-Forbes Marshall,Pune, Pune",0
"Mechanical-Gates India Pvt Ltd , Chandigarh",0
"Mechanical-Gates India Pvt. Ltd., Chennai",0
"Mechanical-Gates India Pvt. Ltd., Faridabad",0
"Mechanical-Gates India Pvt. Ltd., Pune",0
"Mechanical-Grindwell Norton Ltd, Bangalore",0
"Mechanical-HAL ROTARY WING, Bangalore",0
"Mechanical-Harita Fehrer Ltd., Hosur",0
"Mechanical-Harita Seating Systems Ltd., Hosur",0
"Mechanical-Hindalco Industries Limited, Renukoot",0
"Mechanical-Hindalco Industries Limited, Renusagar",0
"Mechanical-Honda Motorcycle & Scooter India Pvt. Ltd., Manesar",0
"Mechanical-Honda Motorcycle & Scooter India Pvt. Ltd., Narsapura (Karnataka)",0
"Mechanical-Honda Motorcycle & Scooter India Pvt. Ltd., Tapukara (Rajasthan)",0
"Mechanical-Honda Motorcycle & Scooter India Pvt. Ltd., Vithalpur",0
"Mechanical-Indian Oil Corporation Limited, Delhi",0
"Mechanical-Indian Oil Corporation Limited, Kolkata",0
"Mechanical-Indian Oil Corporation Limited, Mumbai",0
"Mechanical-Indian Oil, Mathura",0
"Mechanical-Integral Coach Factory, Chennai",0
"Mechanical-JBM Auto Ltd., Faridabad",0
